,importance
Influenza vacc consent given,0.8911129117365854
Ropinirole 250microgram tablets,0.8909674287853752
Right inguinal hernia,0.8901430140505935
Mirtazapine 15mg tablets,0.8885804976621161
Image (document),0.885579624279353
Chronic obstructive pulmonary disease annual review,0.8841918724501507
Simple mastectomy,0.8794771063563829
Not interested in stopping smoking,0.8765301547293582
Seen in emergency clinic,0.8764305619872428
Tapentadol 50mg modified-release tablets,0.8749938875641269
ECG monitoring,0.8714215057046817
Suspected condition,0.8701129019128029
Prednisolone 2.5mg gastro-resistant tablets,0.8701041333202219
Anastrozole 1mg tablets,0.8699507145575289
Ibuprofen 5% gel,0.8683037357684938
Initial memory assessment declined,0.8670589978403129
Blephasol lotion (Thea Pharmaceuticals Ltd),0.8654438194398936
Doxazosin 4mg modified-release tablets,0.8587055204819931
QAdmissions risk emergency hospital admission next 12 months,0.8559487138957036
GPPAQ physical activity index: inactive,0.8544755812186899
Nifedipine 5mg capsules,0.8544322115937015
Advice,0.8539052436439677
Haematuria,0.8510168341758939
Presence of chaperone,0.8510168341758939
H/O: operation,0.8450509844873462
Paracetamol 250mg/5ml oral suspension,0.8447683208659152
Diabetes self-management plan agreed,0.841648294635804
MSG:Referred to urologist,0.8381680809171849
Fucidin 20mg/g cream (LEO Pharma),0.8381031032198164
Paronychia,0.8380589826426917
Polyfax ointment (Teva UK Ltd),0.8369813239981932
Morphine 30mg modified-release tablets,0.8344460454284097
Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan Ltd),0.8288398551907626
Zacin 0.025% cream (Teva UK Ltd),0.8259448136251962
Methotrexate 2.5mg tablets,0.8218997882512437
Oxybutynin 5mg modified-release tablets,0.8210089408864856
Diabetic on oral treatment,0.8209353820756564
Dysequilibrium syndrome,0.8197111342442671
Orthostatic hypotension,0.8197111342442671
Out of hours consultation at surgery,0.8184243990523714
Hylo-Forte 0.2% eye drops preservative free (Scope Ophtha...,0.8181905972514592
Nursing care blood sample taken,0.8156207223822383
Influenza vaccination telephone invite,0.8121390583701628
Co-careldopa 12.5mg/50mg tablets,0.81001416428799
Mometasone 50micrograms/dose nasal spray,0.8100015750551455
Cardiovascular disease risk assessment first letter,0.808664681240399
Post bronchodilator spirometry,0.8057528653641557
Glucose intolerance,0.8049576141114545
Hypertens.monitor phone invite,0.8026832612232492
Sildenafil 50mg tablets,0.8005663617723209
CAT scan,0.799668959021804
Lumbar spine X-ray,0.79905977502464
Monomil XL 60mg tablets (Teva UK Ltd),0.7982917069365755
Rosuvastatin 10mg tablets,0.7982917069365755
Metronidazole 400mg tablets,0.797260525628406
DMARD information leaflet given - enhanced services administ,0.7954983986972924
Vitamin D deficiency,0.7940070057521031
Vasovagal symptom,0.7939423627494882
Foot X-ray,0.7915900500890228
MSG:[D]Abdominal pain,0.7892888462721459
Clinic B monitoring 1st letter,0.7888937178530053
Other reconstruction of joint,0.7874202254811526
Herpes zoster vaccination contraindicated,0.7869549578926809
Epididymitis,0.7854339975352331
"Mitochondrial myopathy, not elsewhere classified",0.785078071856965
Cervical spondylosis,0.785078071856965
Seen by accident and emergency doctor,0.7850290031452674
Phenobarbital 60mg tablets,0.7830663084621525
Acenocoumarol 1mg tablets,0.7816046930912364
Cinnarizine 15mg tablets,0.7769379828770112
Fenbid Forte 10% gel (AMCo),0.7739965525203073
E45 Itch Relief cream (Forum Health Products Ltd),0.7738140971782936
Patient health questionnaire (PHQ-9) score,0.7735149935849999
No known allergies,0.7718812954720216
Seen in gynaecology clinic,0.7706731165358537
TKR - Other total prosthetic replacement of knee joint,0.7691052347805832
Healthy diet,0.7691052347805832
Patient advised to bring sample to surgery,0.7656643881066325
Nitrofurantoin 50mg tablets,0.7651484766536747
H/O: drug allergy,0.763592251831037
CoAprovel 300mg/12.5mg tablets (Sanofi),0.7634132970183166
MRC Breathlessness Scale: grade 1,0.7616263379830807
Olmesartan medoxomil 20mg tablets,0.7613987198529788
Procoralan 7.5mg tablets (Servier Laboratories Ltd),0.7613987198529788
Smoking cessation advice,0.7590124687864481
Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops,0.7558619176924704
Co-tenidone 100mg/25mg tablets,0.7557276785164104
Injection into joint NEC,0.754111536542895
NHS Health Check invitation first letter,0.7539538225312945
Patient address ? correct,0.7522944762815054
Athlete's foot,0.7507061678698982
Miconazole 2% powder,0.7507061678698982
Olive oil ear drops,0.7496272835280433
Failed encounter - no answer when rang back,0.7488711231742871
Recurrence of problem,0.7472423205722292
Atenolol 25mg tablets,0.7452030538179742
MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd),0.7418034591197162
O/E - touch sensation,0.7418034591197162
Citalopram 10mg tablets,0.7383663709587449
Sildenafil 100mg tablets,0.7382729467834315
White British,0.7377968444394488
Timolol 0.25% eye drops,0.7369153437317416
Private referral,0.7358263190417337
Co-Codamol 30/500 Caplets,0.735726261505905
Non-diabetic hyperglycaemia,0.7333712130253425
Patient registration,0.7313592957724867
Pt advised re wt reducing diet,0.7312405666457393
Enjoys moderate exercise,0.7312405666457393
Productive cough -green sputum,0.7295832786517923
Sustanon 250mg/1ml solution for injection ampoules (Aspen...,0.7282102190599744
Migraine,0.7278942549093197
Predsol 0.5% ear/eye drops (Focus Pharmaceuticals Ltd),0.7278129084457317
Tildiem LA 200 capsules (Sanofi),0.7270660731340128
Locoid 0.1% ointment (LEO Pharma),0.7230990162745511
Medicals/reports NOS,0.7226847791724201
No relevant FH: family history,0.7221372882703052
Tadalafil 10mg tablets,0.7194018934703054
BMI,0.7177990985132464
Radiology requested,0.7169741324654327
Polymyalgia rheumatica,0.7124155562098726
NovoRapid FlexPen 100units/ml solution for injection 3ml ...,0.7116052345351872
Levemir FlexPen 100units/ml solution for injection 3ml pr...,0.7116052345351872
O/E - dry skin,0.7113462064112218
Conotrane cream (LEO Pharma),0.7090366947649767
Follow-up clinic letter sent to general practitioner,0.7081925162090192
Desunin 800unit tablets (Meda Pharmaceuticals Ltd),0.7079758968662218
Co-amilozide 2.5mg/25mg tablets,0.7071934966272313
Urinary frequency,0.7067957833142978
Algesal cream (Thornton & Ross Ltd),0.7063142377862786
Travoprost 40micrograms/ml eye drops,0.7059023357938987
Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),0.7041975510321509
Medical reports sent,0.7032630418078439
TRUEyou testing strips (Nipro Diagnostics (UK) Ltd),0.701087461173617
Gliclazide 30mg modified-release tablets,0.701087461173617
Lacidipine 4mg tablets,0.701087461173617
Insuman Basal 100units/ml suspension for injection 3ml pr...,0.701087461173617
Lyrica 150mg capsules (Pfizer Ltd),0.7003702799344554
Mild frailty,0.6996059323186856
Erythromycin ethyl succinate 250mg/5ml oral suspension,0.6991147439472334
Trazodone 50mg capsules,0.6972716400853574
Azithromycin 500mg tablets,0.6971484294245407
Read code administration,0.6962298144267837
Clindamycin 75mg capsules,0.6958367113347597
Mirtazapine 30mg tablets,0.692481715939081
EarCalm 2% spray (Forest Laboratories UK Ltd),0.6851706964092371
Cholurso 250mg tablets (HFA Healthcare Products Ltd),0.6836932890569022
Gabapentin 300mg capsules,0.6824157128485364
"CHA2DS2 - vascular disease, age, sex category score",0.6814863884283673
Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd),0.6812703900775162
Epilepsy,0.6812703900775162
Tegretol Prolonged Release 200mg tablets (Novartis Pharma...,0.6812703900775162
Betahistine 8mg tablets,0.6805742607817475
Change of vaginal pessary,0.6784215121281252
Chaperone present,0.6784215121281252
Admission to accident and emergency department,0.6774391433423794
GPPAQ physical activity index: moderately inactive,0.6760791563745769
Hip osteoarthritis NOS,0.6725746464246936
Venlalic XL 75mg tablets (Ethypharm UK Ltd),0.6720445670552816
Theophylline 300mg modified-release tablets,0.6720369464660689
Non-alcoholic fatty liver,0.6706390699241327
Mild chronic obstructive pulmonary disease,0.6704010567008373
Muscle pain,0.6703724937515947
Referral to urologist,0.6700557271231197
H/O: fracture,0.6700557271231197
Pain relief,0.6686292676600271
Alverine 60mg capsules,0.6676221284954524
Lumbar DXA scan result osteoporotic,0.6662885997034628
Oilatum shower gel fragrance free (GlaxoSmithKline Consum...,0.6653108015898895
Oilatum Plus bath additive (GlaxoSmithKline Consumer Heal...,0.6653108015898895
Nova Mini colostomy bag 803-25 25mm Opaque (Dansac Ltd),0.6627050747084318
Lercanidipine 10mg tablets,0.6620245197656006
Referral to improving access to psychological therapies prog,0.6613689048345431
Parotitis,0.660547617006036
Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),0.6547047156331489
Alendronic acid 70mg tablets,0.65338561812732
OOH attendance note,0.6496076392421071
Ramipril 10mg capsules,0.6475549411744487
Dog bite,0.6467390595798409
[M]Meningioma NOS,0.6458044456832388
Mobility fair,0.6454885658358289
Cutimed Protect cream (BSN medical Ltd),0.6439800500855115
Flecainide 100mg tablets,0.6418001947327803
Betamethasone valerate 0.1% / Fusidic acid 2% cream,0.6380417694163645
History obtained from third party,0.636448574373591
O/E - general breast exam. NAD,0.6331018512759597
Erythrocin 250 tablets (AMCo),0.6325707340104836
Patient advised re bed rest,0.6322519764810254
Movicol-Half oral powder 6.9g sachets (Norgine Pharmaceut...,0.6322519764810254
Tiotropium bromide 18microgram inhalation powder capsules,0.6285770603720688
Seen by consultant,0.6284532551891563
New patient screen done,0.6264334536336845
Solifenacin 10mg tablets,0.6260598118295435
Mild cognitive impairment,0.6256023149444838
Nocturia,0.6256023149444838
Plain X-ray knee,0.6224166634177793
NHS Health Check indicated,0.6220014817497564
Digoxin 62.5microgram tablets,0.621716791135104
MSG:Referral to vascular surgeon,0.6214735461782586
Ankle pain,0.619308776025346
Hydro-Caine Gel (CliniSupplies Ltd),0.6192344692846662
Fusidic acid 2% cream,0.6192344692846662
Seen by own GP,0.6176793291828312
Madopar 100mg/25mg capsules (Roche Products Ltd),0.6165066939900223
Madopar 50mg/12.5mg capsules (Roche Products Ltd),0.6165066939900223
Prochlorperazine 3mg buccal tablets,0.6159122177839096
Partial thickness rotator cuff tear,0.6156560804564484
US scan of shoulder,0.6156560804564484
Psoriasis unspecified,0.6131559637614056
Quetiapine 25mg tablets,0.6130092340355687
Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,0.6130092340355687
Ibuleve Maximum Strength 10% gel (Dendron Ltd),0.6122928650575264
Full thickness rotator cuff tear,0.6076205532229048
Simpla S2 non-drainable night drainage bag 320902 2litre (Coloplast Ltd),0.6066778571074523
GPPAQ physical activity index: active,0.6063336058172828
Co-amilofruse 5mg/40mg tablets,0.6005263894410418
Referral to liver unit,0.5995246714380403
Referred for hepatology,0.5995246714380403
Gaviscon Cool Liquid (Reckitt Benckiser Healthcare (UK) Ltd),0.5986427731213476
Fusion of joint NEC,0.5986427731213476
MSG:Acquired renal cystic disease,0.5986250305095945
Patient offered choice of provider,0.5986250305095945
Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,0.5980771282041033
Care plan,0.5963647445079989
Scanned document,0.5950525693376455
Communication from:,0.5895764151988319
Mirtazapine 45mg orodispersible tablets,0.5868850993567857
Patient advised about alcohol,0.5866541421109602
O/E - heart sounds normal,0.5863727736324973
Inguinal hernia NOS,0.5861259910860199
Benign neoplasm soft tissue of cervical spine,0.5854305980695055
Zolpidem 10mg tablets,0.5834855841874312
Does drive a car,0.5828435492375367
Brief intervention for physical activity declined,0.5828435492375367
Neck sprain,0.5825201293773847
"Osteoarthritis NOS, of knee",0.5810290192152935
Fluconazole 50mg capsules,0.5806100187309237
Azelaic acid 15% gel,0.5798649759497215
Plantar fasciitis,0.579074964207736
Ciprofloxacin 250mg tablets,0.5775828518064274
Ferrous fumarate 305mg capsules,0.5772335799859283
Return only if necessary,0.5762493450295731
Rehabilitation for musculoskeletal disorders NOS,0.5762493450295731
Meloxicam 15mg tablets,0.5761610083948865
Tolterodine 1mg tablets,0.5757144061805726
Hylo-Tear 0.1% eye drops preservative free (Scope Ophthal...,0.5756745586372239
Losartan 12.5mg tablets,0.5753360262648494
Carbomer '980' 0.2% eye drops,0.5751317603427872
Seen by respiratory physician,0.5745764413873364
Uvistat sun cream SPF 50 (Boston Healthcare Ltd),0.5735400111386412
Excepted from COPD quality indicators: Patient unsuitable,0.5701124423065131
Depo-Medrone 80mg/2ml suspension for injection vials (Pfi...,0.5695464918671096
Recall administration-general,0.5692059117636211
Agreeing on mental health care plan,0.5685632758360785
Review of mental health care plan,0.5685632758360785
Salbutamol 100micrograms/dose breath actuated inhaler CFC free,0.5673027296111334
Captopril 25mg tablets,0.5652748899844937
Patient given advice,0.5637412974466459
Easyhaler Beclometasone 200micrograms/dose dry powder inh...,0.5636238504316857
Easyhaler Salbutamol sulfate 200micrograms/dose dry powde...,0.5636238504316857
Calcipotriol 50micrograms/ml scalp solution,0.5635580785835917
Impression urostomy bag 1483 22mm Transparent (Hollister ...,0.563526414409107
Dansac GX-tra Seals 725-20/30 20mm (Dansac Ltd),0.563526414409107
Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,0.5634822033976653
Neoclarityn 5mg tablets (Merck Sharp & Dohme Ltd),0.5629736302931121
Cetirizine 10mg tablets,0.5623497034307399
Nursing care,0.5613663813935641
Hydroxyzine 25mg tablets,0.5596316374677316
Candesartan 2mg tablets,0.5593842378820408
Metoclopramide 10mg tablets,0.5583495859819441
Dexamethasone 0.1% eye drops,0.5576826681972114
New patient consultation,0.556334188141298
Atenolol 100mg tablets,0.553535666666031
Temazepam 20mg tablets,0.5523438587019263
Hydromol Intensive 10% cream (Alliance Pharmaceuticals Ltd),0.5518184381589699
MSG:Referral to gynaecology special interest GP,0.5518184381589699
Brinzolamide 10mg/ml eye drops,0.5514479785755986
Thiamine 50mg tablets,0.550367479022081
Carvedilol 3.125mg tablets,0.550367479022081
Simvastatin 80mg tablets,0.5498876909375486
Matrifen 12micrograms/hour transdermal patches (Teva UK Ltd),0.549597735814336
Amlodipine 10mg tablets,0.5472350385790858
Seen in vascular clinic,0.5462875670057838
JBS cardiovascular disease risk 10-20% over next 10 years,0.545703164668106
Neutrogena T/Gel shampoo for greasy hair (Johnson & Johnson Ltd),0.5442568002803372
Number of COPD exacerbations in past year,0.5442063635374437
O/E - poor venous access,0.5439600380002251
Shingles vaccination invitation second letter,0.5439600380002251
Referral for echocardiography,0.5439600380002251
Failed attempted procedure,0.5439600380002251
Losartan 50mg tablets,0.543710931407017
Chlorpromazine 100mg tablets,0.5434229367582284
,0.5403392841451595
OxyContin 5mg modified-release tablets (Napp Pharmaceutic...,0.5403392841451595
Enalapril 10mg tablets,0.5376144166737271
[SO]Buttock NEC,0.5376144166737271
Sno Tears 1.4% eye drops (Bausch & Lomb UK Ltd),0.5355075983384853
Temazepam 10mg tablets,0.5339291809347716
MSG:Seen by GP locum,0.5322331445653532
Dipyridamole 200mg modified-release capsules,0.5315481876562914
Venlalic XL 75mg tablets (DB Ashbourne Ltd),0.5313143825249864
Prescription sent to patient,0.5313143825249864
Insulatard InnoLet 100units/ml suspension for injection 3...,0.5282407759440305
Ketoconazole 2% shampoo,0.5272493293060944
Urine looks cloudy,0.5269290628234347
"Pro D3 20,000unit capsules (Synergy Biologics Ltd)",0.5258898012842217
Uniroid HC ointment (Chemidex Pharma Ltd),0.525019624245891
MSG:General surgical referral,0.525019624245891
Brief intervention for physical activity offered,0.5247340501301092
Chronic obstructive pulmonary disease monitoring 2nd letter,0.5246980759534201
Current non drinker,0.5240106470732011
Nizoral 2% shampoo (Janssen-Cilag Ltd),0.5229856852394497
Amlodipine 5mg / Valsartan 80mg tablets,0.5223094161525283
Malnutrition universal screening tool score,0.5216637056648897
Medication increased,0.5194442875032418
Ropinirole 2mg tablets,0.5194442875032418
Seen in cardiac clinic,0.5191180492673831
Mesalazine 800mg gastro-resistant tablets,0.517983560788931
Emulsifying ointment,0.5150626881226867
Tears Naturale eye drops (Novartis Pharmaceuticals UK Ltd),0.514674527225095
Inpatient discharge summary received,0.5141207646736989
Removal of suture of skin,0.5095374481723992
Hypromellose 0.3% eye drops,0.5092079362177208
Fluconazole 150mg capsules,0.5059362546954567
Refer to podiatry,0.5055085600405116
Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,0.5050591243214191
O/E visual acuity right eye = 6/7,0.5048838755901642
O/E - visual acuity L-eye =6/6,0.5048838755901642
Perindopril erbumine 8mg tablets,0.5038219845313167
Nocturnal cough / wheeze,0.5035283187257773
Amorolfine 5% medicated nail lacquer,0.5035283187257773
Paroxetine 10mg tablets,0.5018556617291945
Sertraline 100mg tablets,0.5015737395204504
Standard ECG,0.5001055531264641
Ciprofloxacin 500mg tablets,0.4998724386992268
Refer to physiotherapist,0.4990123596359726
MSG:Referral for dual energy X-ray photon absorptiometry sca,0.49899289886379117
Home visit request by relative,0.49740253089424646
Emergency hospital admission,0.4938725756865935
Negative reversibility test to salbutamol,0.493256484491357
Moderate chronic obstructive pulmonary disease,0.493256484491357
Alphosyl 2 in 1 shampoo (Omega Pharma Ltd),0.4927567354795519
Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd),0.48816119655042356
Movicol oral powder 13.8g sachets lemon & lime (Norgine Pharmaceuticals Ltd),0.48602689765626605
Nebido 1000mg/4ml solution for injection vials (Bayer Plc),0.48548268472133704
Referral to healthy lifestyle programme,0.48548268472133704
Consent status for immunisats.,0.4848328105136721
Exception reporting: diabetes quality indicators,0.4827639417749976
Ultrasound treatment to shoulder,0.48178947742187556
Cervical smear refused,0.48124589023293557
Dicycloverine 20mg tablets,0.48124589023293557
Superficial vessel phlebitis and/or thrombophlebitis of leg,0.48124589023293557
Seen in neurosurgery clinic,0.48122325389178644
Co-amilozide 5mg/50mg tablets,0.481092303718419
Duloxetine 20mg gastro-resistant capsules,0.481092303718419
Verapamil 120mg modified-release tablets,0.481092303718419
Dietary advice,0.47983689255342543
Plain X-ray thoracic spine,0.47961375490629804
At risk of dementia,0.4781605507840416
Tamsulosin 400microgram modified-release tablets,0.4770239100053808
Rheumatoid arthritis of shoulder,0.4761707287409987
Number of times bronchodilator used in one week,0.4758835880043503
Asthma monitor 2nd letter,0.4758835880043503
[D]Vertigo NOS,0.4746586342149148
Paracetamol 500mg tablets,0.47387082678216297
Sepsis,0.47319025124764624
Paracetamol 500mg / Dihydrocodeine 20mg tablets,0.47262166626116986
Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,0.4716295451461852
Other otitis externa,0.4716295451461852
Hydrocortisone 0.1% cream,0.4712914661448702
Advice to GP to change patient medication,0.4700678335049305
Pain in arm,0.4694580862214639
Venlalic XL 150mg tablets (Ethypharm UK Ltd),0.4668408864690051
Lifestyle advice regarding exercise,0.4665894206897515
Irbesartan 300mg tablets,0.46594783214575397
Alcohol screen - AUDIT C completed,0.4657808801427153
Consent given for pneumococcal vaccine,0.4657808801427153
Oxycodone 5mg modified-release tablets,0.46555983515287797
Prescription of respiratory disease rescue medication,0.46555983515287797
Bill/fee paid,0.46555983515287797
Advised to attend for retinal screening,0.46406869842963605
Diabetes type 2 review,0.46406869842963605
Paracetamol 500mg capsules,0.4638884143202996
H/O knee replacement,0.46281289115232427
