,importance
Matrifen 12micrograms/hour transdermal patches (Teva UK Ltd),0.7432568934806072
Ramipril 10mg tablets,0.7404596025299096
Tamoxifen 20mg tablets,0.7399228947487
Clarithromycin 500mg tablets,0.72823690636609
Tiotropium bromide 18microgram inhalation powder capsules,0.7278067801541099
Right inguinal hernia,0.7246112361352859
Theophylline 300mg modified-release tablets,0.7246112361352859
[D]Clicking thumb,0.7225118210148678
Clinical document,0.7225029686784022
Lactulose 3.1-3.7g/5ml oral solution,0.7207894188613362
Ropinirole 2mg tablets,0.720667698623294
Muscle pain,0.7206408436665152
Azelaic acid 15% gel,0.7066022185016054
Enalapril 10mg tablets,0.703738123372975
Movicol-Half oral powder 6.9g sachets (Norgine Pharmaceut...,0.6986877684424854
BuTrans 10micrograms/hour transdermal patches (Napp Pharm...,0.6986877684424854
Flare of rheumatoid arthritis,0.6956640377834373
Phenobarbital 60mg tablets,0.6954617209314449
Pruritus NOS,0.6951196906163533
Celecoxib 100mg capsules,0.6893581013683796
Lantus 100units/ml solution for injection 3ml cartridges ...,0.6847336899621816
Cataract,0.6824570647360855
[D]Rash and other nonspecific skin eruption,0.6824366147396176
Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd),0.6823861461624573
Movicol oral powder 13.8g sachets lemon & lime (Norgine Pharmaceuticals Ltd),0.6795036981842554
Salmeterol 25micrograms/dose inhaler CFC free,0.6790390801662823
Cervical spondylosis,0.6775893495251909
"Mitochondrial myopathy, not elsewhere classified",0.6775893495251909
Menthol 5% in Aqueous cream,0.6763703886000096
Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets,0.6734382757589203
Mebeverine 135mg tablets,0.6728600052990632
Ibuleve Maximum Strength 10% gel (Dendron Ltd),0.653466544621718
Fluconazole 50mg capsules,0.6533006954590964
Metoprolol 50mg tablets,0.6514394852591673
Fybogel Lemon 3.5g effervescent granules sachets SF (Reck...,0.6434249844613483
TrueTrack System testing strips (Nipro Diagnostics (UK) Ltd),0.6406218976327678
Hydrocortisone 0.1% cream,0.639034092256594
Thumb pain,0.636841816444375
Hyperlipidaemia NOS,0.6360954697818895
Hand joint pain,0.6360954697818894
Tadalafil 5mg tablets,0.6356028331303641
Nitrofurantoin 50mg tablets,0.633790411289255
Wrist joint pain,0.6321101968842007
Unknown read term,0.6286260380054965
Questionnaire letter,0.6286260380054965
Impaired mobility,0.6286260380054965
Irbesartan 150mg tablets,0.6269315997067193
Sildenafil 50mg tablets,0.6245369663924375
Polyfax ointment (Teva UK Ltd),0.6222020803504339
Saxagliptin 2.5mg tablets,0.6159888056985376
Chlorhexidine gluconate 0.2% mouthwash,0.6132178345064931
Fluconazole 150mg capsules,0.6132178345064931
Erythromycin stearate 500mg tablets,0.6112654844153909
Propranolol 10mg tablets,0.6095366216097466
Apixaban 2.5mg tablets,0.6078272717951908
Hydrocortisone acetate 1% / Fusidic acid 2% cream,0.6078272717951908
Pentasa 1g suppositories (Ferring Pharmaceuticals Ltd),0.6051079981941805
"BD Safe-Clip needle clipping / chopping device (Becton, D...",0.6044028056322773
Victoza 6mg/ml solution for injection 3ml pre-filled pen ...,0.600090368825055
Dapagliflozin 10mg tablets,0.600090368825055
Genital prolapse,0.5996601020274771
Gastroenteritis,0.59930980493153
Viral gastroenteritis,0.59930980493153
Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),0.5952242454866093
Frozen shoulder,0.5949574297348115
Refer to physiotherapist,0.5943574358259808
Celecoxib 200mg capsules,0.5893483853696191
Dosulepin 75mg tablets,0.5871141491171585
Hylo-Tear 0.1% eye drops preservative free (Scope Ophthal...,0.5858209009684403
"Simpla Plus sterile leg bag 21572 500ml bag, 25cm tube (C...",0.583647247001975
Onychomycosis,0.5825159811001981
Rotator cuff complete rupture,0.5822173406914072
Pramipexole 350microgram tablets,0.5822173406914072
Co-amilozide 2.5mg/25mg tablets,0.5817080706350507
Epididymitis,0.581328209239483
Hyoscine butylbromide 10mg tablets,0.5810894800655326
Venlalic XL 75mg tablets (DB Ashbourne Ltd),0.5801831211481967
Longtec 60mg modified-release tablets (Qdem Pharmaceuticals Ltd),0.57701461695963
Shortec 5mg capsules (Qdem Pharmaceuticals Ltd),0.57701461695963
Proctosedyl suppositories (Sanofi),0.5768798967447714
Omnican Lance Soft lancets 0.3mm/30gauge (B.Braun Medical...,0.5757626037001167
Tylex 30mg/500mg capsules (UCB Pharma Ltd),0.5749198751928082
Piroxicam 0.5% gel,0.5744974389546008
Urticaria,0.5744974389546008
Fybogel Orange 3.5g effervescent granules sachets SF (Reckitt Benckiser Healthcare (UK) Ltd),0.5739915015463793
Hip osteoarthritis NOS,0.5738836905483792
Etoricoxib 60mg tablets,0.5727337150100531
Athlete's foot,0.5665828113942226
Miconazole 2% powder,0.5665828113942226
Sytron oral solution (Forum Health Products Ltd),0.5652820094719482
Allevyn Gentle dressing 10cm x 10cm (Smith & Nephew Healt...,0.5652820094719482
Aciclovir 5% cream,0.563774421813983
Digoxin 62.5microgram tablets,0.5618833112681532
Uvistat sun cream SPF 50 (Boston Healthcare Ltd),0.5598624720892759
Chlorpromazine 100mg tablets,0.5598624720892759
Dehydration,0.5597867856200428
[D]Light-headedness,0.5597867856200428
Vencarm XL 37.5mg capsules (Aspire Pharma Ltd),0.5591853730642622
Chalazion (meibomian cyst),0.5560490144039019
Daktarin 2% cream (Janssen-Cilag Ltd),0.5560490144039019
Evacal D3 1500mg/400unit chewable tablets (Teva UK Ltd),0.5530049709230247
"Urinary tract infection, site not specified",0.5516668735974626
Non-alcoholic fatty liver,0.5495494469525084
SMS message sent to patient,0.5492247896724265
Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,0.5484278589390353
Gout,0.5475945490343794
Folic acid 5mg tablets,0.5462291640870205
Tizanidine 2mg tablets,0.5438183078310186
Arthrotec 50 gastro-resistant tablets (Pfizer Ltd),0.5429275316054983
Nicorandil 10mg tablets,0.5427058144644906
Tildiem Retard 120mg tablets (Sanofi),0.5427058144644906
Paracetamol 250mg/5ml oral suspension,0.5426056682396653
Osteoarthritis NOS,0.539541328510074
Ventricular ectopic beats,0.539541328510074
Labetalol 400mg tablets,0.5375190748286897
Atenolol 25mg tablets,0.5358552124894844
Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmithKline UK Ltd),0.5347255183711004
Osteoarthritis of spine,0.533863500244027
Hair loss,0.5314466592049485
"Osteoarthritis NOS, of knee",0.5314466592049485
Spironolactone 25mg tablets,0.5313723764175988
Deep vein thrombosis,0.5313723764175988
Dansac GX-tra Seals 725-20/30 20mm (Dansac Ltd),0.5312840000568114
Impression urostomy bag 1483 22mm Transparent (Hollister ...,0.5312840000568114
Emulsifying ointment,0.5306488601042356
Ibuprofen 200mg capsules,0.5287160381057165
Calcichew D3 chewable tablets (Takeda UK Ltd),0.5280175531127277
Infected insect bite,0.5249965251886461
Lidocaine 20mg/2ml (1%) solution for injection ampoules,0.5248850010035583
Sharpsguard disposal unit Orange (Daniels Healthcare Ltd),0.5198540973469953
Cilostazol 100mg tablets,0.5198540973469953
Escitalopram 10mg tablets,0.5169721848593607
Diclofenac potassium 50mg tablets,0.5151417736919768
Depo-Medrone with Lidocaine suspension for injection 1ml vials (Pfizer Ltd),0.5151246482606852
Community acquired pneumonia,0.5150901280150924
Co-careldopa 12.5mg/50mg tablets,0.5143685907387572
Migraleve tablets (McNeil Products Ltd),0.5138394531059411
Premique Low Dose 0.3mg/1.5mg modified-release tablets (Pfizer Ltd),0.5136156253735451
Referred for hepatology,0.51314408031609
Pain in buttock,0.5130449803834168
Nitrofurantoin 100mg modified-release capsules,0.5111210464590594
Zolpidem 10mg tablets,0.5107386935829019
Hylo-Forte 0.2% eye drops preservative free (Scope Ophtha...,0.5089827030966074
Cutaneous cellulitis,0.5062499607453872
Complan Shake Powder (Mixed Flavours) Sachets 4 x 57 gram sachets,0.5026592924615793
Cetrimide 0.5% cream,0.5026592924615793
Complan Shake oral powder 57g sachets chocolate (Nutricia Ltd),0.5026592924615793
Zomorph 60mg modified-release capsules (Archimedes Pharma...,0.5009165340449605
Hypromellose 0.3% eye drops 0.5ml unit dose preservative free,0.5006093481998869
Hypromellose 0.3% eye drops 0.5ml unit dose preservative ...,0.5006093481998869
Clindamycin 150mg capsules,0.49999999999999994
Salbutamol 100micrograms/dose breath actuated inhaler CFC free,0.4989476742707457
Dysequilibrium syndrome,0.49807352441294095
Orthostatic hypotension,0.49807352441294095
Voltarol 1.16% Emulgel P (Novartis Consumer Health UK Ltd),0.4943449031999948
GPPAQ hrs in last week spent walking-some but less than 1hr,0.49174846401241495
Fexofenadine 30mg tablets,0.48554944623537694
Losartan 12.5mg tablets,0.4855494462353769
Superficial vessel phlebitis and/or thrombophlebitis of leg,0.4841711079028374
Dicycloverine 20mg tablets,0.4841711079028374
Co-amoxiclav 500mg/125mg tablets,0.4839276031092856
Alverine 120mg capsules,0.4830181450448223
Securon SR 240mg tablets (Abbott Laboratories Ltd),0.4829365725819147
FastClix lancets 0.3mm/30gauge (Roche Diabetes Care Ltd),0.48054235926303646
Alendronic acid 70mg tablets,0.4802896794741496
Anusol HC ointment (McNeil Products Ltd),0.4777336228462762
Polymyalgia rheumatica,0.4770637906232166
Brinzolamide 10mg/ml eye drops,0.47698482035754053
Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,0.4719692890892346
Other otitis externa,0.4719692890892346
Benzydamine 3% cream,0.4719692890892346
Omnican Fine hypodermic insulin needles for pre-filled / ...,0.4711154216516614
"BD Micro-Fine + lancets 0.3mm/30gauge (Becton, Dickinson ...",0.4711154216516614
Ophthalmology referral,0.47089141548018076
Sildenafil 25mg tablets,0.4708529709559582
Moviprep Orange oral powder sachets (Norgine Pharmaceutic...,0.4702809085869716
Sulindac 200mg tablets,0.4702809085869716
Cialis 10mg tablets (Eli Lilly and Company Ltd),0.4702809085869716
Levemir Penfill 100units/ml solution for injection 3ml ca...,0.4702809085869716
GPPAQ hours in last week spent walking - 3 hours or more,0.47023185251760435
Postmenopausal bleeding,0.46891825968242334
Urine dipstick leucocytes positive,0.46891825968242334
Oxycodone 20mg modified-release tablets,0.46682816881213096
Sepsis,0.46548734156588645
Cetirizine 10mg tablets,0.46522982046419314
Levomepromazine 25mg tablets,0.46454763970925883
Trazodone 150mg tablets,0.46454763970925883
Duloxetine 60mg gastro-resistant capsules,0.4613696766598382
AeroChamber Plus (Trudell Medical UK Ltd),0.460254401079587
Metformin 500mg modified-release tablets,0.45934521690632946
Hypertensive disease,0.4551969018730233
AeroChamber Plus with adult mask (GlaxoSmithKline UK Ltd),0.45470730830608846
Tinnitus,0.4547073083060884
Morphine sulfate 10mg/5ml oral solution,0.4545542105406833
Trazodone 50mg/5ml oral solution sugar free,0.4514301568807237
Quetiapine 25mg tablets,0.4514301568807237
Accrete D3 tablets (Internis Pharmaceuticals Ltd),0.44899657120945236
Beclometasone 100micrograms/dose breath actuated inhaler CFC free,0.44802034448162653
Seretide 250 Evohaler (GlaxoSmithKline UK Ltd),0.4474461525248096
Citalopram 40mg tablets,0.44252782199633667
Diprosalic 0.05%/3% ointment (Merck Sharp & Dohme Ltd),0.44177668997947345
Protopic 0.03% ointment (Astellas Pharma Ltd),0.44177668997947345
Protopic 0.03% ointment (LEO Pharma),0.44177668997947345
Ibuprofen 400mg capsules,0.43961110675447346
Erythroped A 500mg tablets (AMCo),0.43538711683449843
Aripiprazole 5mg tablets,0.4324491902856916
Risperidone 500microgram orodispersible tablets sugar free,0.43106310883819127
Lisinopril 5mg tablets,0.4293848978407726
Betahistine 8mg tablets,0.42872507652005765
Gaviscon Cool Liquid (Reckitt Benckiser Healthcare (UK) Ltd),0.42688445739638
Ibuprofen 5% gel,0.4256720138387069
Spironolactone 50mg tablets,0.4203055808484896
"Osteoporosis, unspecified",0.41967250107367765
Diclofenac 100mg suppositories,0.41967250107367765
GlucoMen areo Sensor testing strips (A Menarini Diagnosti...,0.41958967676556924
Lumigan 300micrograms/ml eye drops (Allergan Ltd),0.4183287697512188
Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd),0.4179125883809033
Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd),0.4179125883809033
Full thickness rotator cuff tear,0.41689197966275265
Orlistat 120mg capsules,0.4167141766507968
Skin lesion,0.4167141766507968
Flecainide 100mg tablets,0.4167141766507968
Flecainide 50mg tablets,0.4167141766507968
Oilatum shower gel fragrance free (GlaxoSmithKline Consum...,0.41659790437868793
Oilatum Plus bath additive (GlaxoSmithKline Consumer Heal...,0.41659790437868793
Amiodarone 100mg tablets,0.4148445302322172
E45 cream (Forum Health Products Ltd),0.41349379558688387
Losartan 50mg tablets,0.4108277043979114
[D]Non-cardiac chest pain,0.41027863281039
Atarax 25mg tablets (Alliance Pharmaceuticals Ltd),0.4102733109418721
Travoprost 40micrograms/ml eye drops,0.409269957475767
Dental abscess,0.4054397404968297
Duloxetine 20mg gastro-resistant capsules,0.4047879441603715
Verapamil 120mg modified-release tablets,0.4047879441603715
Co-amilozide 5mg/50mg tablets,0.4047879441603715
Carbocisteine 250mg/5ml oral solution,0.40282245149431345
Amlodipine 5mg / Valsartan 80mg tablets,0.40221608731245256
Pyridoxine 50mg tablets,0.40177254678224794
Adverse reaction to Domperidone,0.40065522828432476
Univer 120mg modified-release capsules (Teva UK Ltd),0.40065522828432476
Warfarin 3mg tablets,0.40058722378110234
Pregabalin 25mg capsules,0.4004490514249935
Salofalk 1.5g gastro-resistant modified-release granules ...,0.4004490514249935
Theophylline 125mg modified-release capsules,0.3994987669759534
Theophylline 250mg modified-release capsules,0.3994987669759534
Brinzolamide 10mg/ml / Brimonidine 2mg/ml eye drops,0.3994987669759534
Indacaterol 150microgram inhalation powder capsules with ...,0.3994987669759534
Pravastatin 40mg tablets,0.39826144773616834
Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,0.3974071506329416
Hip pain,0.392118151019887
Oxycodone 10mg modified-release tablets,0.39188923954641064
Leg cramps,0.39107702267114147
CosmoCol Lemon and Lime Flavour oral powder sachets (Stir...,0.3886362785340303
Meniere's disease,0.38302427360547564
Venlalic XL 150mg tablets (Ethypharm UK Ltd),0.3829066400200457
Blepharitis,0.3822445212640698
Mesalazine 800mg gastro-resistant tablets,0.3809462668901499
Hylo-Forte 0.2% eye drops preservative free (Scope Ophthalmics Ltd),0.3802299606197742
Neoclarityn 5mg tablets (Merck Sharp & Dohme Ltd),0.37991249463044935
Sodium cromoglicate 2% eye drops,0.3799124946304493
"Closed fracture distal phalanx, toe",0.3772066560414604
Finacea 15% gel (Bayer Plc),0.3772066560414604
Metoclopramide 10mg tablets,0.37578087019946527
Hyabak 0.15% eye drops preservative free (Thea Pharmaceut...,0.36981812281066717
Gliclazide 40mg tablets,0.3631369987303692
Felodipine 5mg modified-release tablets,0.35870739180264
MST Continus 15mg tablets (Napp Pharmaceuticals Ltd),0.35735474290220404
Amlodipine 10mg tablets,0.35610464368319317
Mirabegron 50mg modified-release tablets,0.35460687934418145
Dansac Seals 070-30 30mm (Dansac Ltd),0.3542381833256444
Naseptin nasal cream (Alliance Pharmaceuticals Ltd),0.3542073895970228
Document Image letter,0.3539942689954739
Generalised arthritis,0.35367068743359775
Rivastigmine 4.6mg/24hours transdermal patches,0.3530246649054326
Shoulder arthritis NOS,0.35287204228833163
Adverse reaction to Co-Amilofruse,0.35287204228833163
Simvastatin 80mg tablets,0.35222626081723973
Movelat cream (Genus Pharmaceuticals Ltd),0.35123821410753464
Nebido 1000mg/4ml solution for injection vials (Bayer Plc),0.3512282361397696
Mometasone 50micrograms/dose nasal spray,0.350806885594642
Diprobase cream (Bayer Plc),0.35064038014679066
Aciclovir 200mg tablets,0.3484548568321606
Deep Relief gel (The Mentholatum Company Ltd),0.3484548568321606
Humulin I KwikPen 100units/ml suspension for injection 3m...,0.3469811118986462
Madopar 50mg/12.5mg capsules (Roche Products Ltd),0.3452014158185132
Madopar 100mg/25mg capsules (Roche Products Ltd),0.3452014158185132
Zapain 30mg/500mg capsules (AMCo),0.3419570270557658
Bronchopneumonia due to unspecified organism,0.34177182464722533
Ichthopaste bandage 7.5cm x 6m (Smith & Nephew Healthcare...,0.3401461886686544
DuoDERM Extra Thin dressing 7.5cm x 7.5cm square (ConvaTe...,0.3401461886686544
Betnovate 0.1% ointment (GlaxoSmithKline UK Ltd),0.3401461886686544
Betamethasone valerate 0.1% / Fusidic acid 2% cream,0.335772648474553
Efudix 5% cream (Meda Pharmaceuticals Ltd),0.3345103767902653
ZAFIRLUKAST 20mg tablets,0.33182113081981784
Salmeterol 50micrograms/dose dry powder inhaler,0.33182113081981784
Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK...,0.33182113081981784
Uniphyllin Continus 400mg tablets (Napp Pharmaceuticals Ltd),0.33182113081981784
Fluticasone propionate 500micrograms/dose dry powder inhaler,0.33182113081981784
Ferrous fumarate 305mg capsules,0.32902688244960476
Ketoconazole 2% shampoo,0.32563546875720406
Tramadol 100mg modified-release capsules,0.323894110881829
Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd),0.322763875826378
Manevac granules (Meda Pharmaceuticals Ltd),0.3226611317630191
Inguinal hernia NOS,0.31961502271095055
Xyloproct 5%/0.275% ointment (Aspen Pharma Trading Ltd),0.3190400590263484
